date,trips
2013-12-01,13326
2013-12-02,24576
2013-12-03,27431
2013-12-04,28199
2013-12-05,26988
2013-12-06,10736
2013-12-07,15545
2013-12-08,10090
2013-12-09,14824
2013-12-10,12850
2013-12-11,18766
2013-12-12,17214
2013-12-13,17888
2013-12-14,3701
2013-12-15,7462
2013-12-16,15562
2013-12-17,7863
2013-12-18,14924
2013-12-19,18766
2013-12-20,22066
2013-12-21,17940
2013-12-22,15063
2013-12-23,6956
2013-12-24,11025
2013-12-25,3260
2013-12-26,9763
2013-12-27,11720
2013-12-28,12022
2013-12-29,3775
2013-12-30,13241
2013-12-31,10424
