date,bikes
2013-06,73706
2013-07,119177
2013-08,130286
2013-09,141496
2013-10,109686
2013-11,70079
2013-12,49024
2014-01,30963
2014-02,24262
2014-03,53879
2014-04,77055
2014-05,101241
2014-06,111770
2014-07,116856
2014-08,123695
2014-09,120014
2014-10,116964
2014-11,68038
2014-12,49630
2015-01,36625
2015-02,27293
2015-03,45488
2015-04,69039
2015-05,55526
2015-06,40653
2015-07,45653
2015-08,48271
2015-09,51892
2015-10,54355
2015-11,32253
2015-12,23881
2016-01,16468
2016-02,18983
2016-03,21965
2016-04,34033
2016-05,41361
2016-06,51523
2016-07,50940
2016-08,58250
2016-09,51240
2016-10,55635
2016-11,39966
2016-12,28043
2017-01,25099
2017-02,24249
2017-03,21229
2017-04,36702
2017-05,42441
2017-06,41426
2017-07,40844
2017-08,45133
2017-09,38991
2017-10,41412
2017-11,36526
2017-12,24344
2018-01,19636
2018-02,22827
2018-03,25128
2018-04,38262
2018-05,48086
2018-06,47742
2018-07,50917
2018-08,47373
2018-09,41058
2018-10,50432
2018-11,47446
2018-12,32402
2019-01,29361
2019-02,29559
2019-03,29616
2019-04,43456
2019-05,48671
2019-06,45838
2019-07,49157
2019-08,50410
2019-09,48819
2019-10,56453
2019-11,48982
2019-12,36912
2020-01,38634
2020-02,27037
2020-03,24358
2020-04,14751
2020-05,24455
2020-06,26620
2020-07,38702
2020-08,39836
2020-09,39560
2020-10,35963
2020-11,26438
2020-12,18828
